# stem	genders(m,f,n)	kind — from Monier-Williams (CDSL), see scripts/import-mw.ts
अ	m	noun
अंश	m	noun
अंशक	m,n	noun,adj
अंशकरण	n	noun
अंशकल्पना	f,n	noun
अंशभागिन्		adj
अंशभू	m	noun
अंशभूत		adj
अंशरूपिणी	f	noun
अंशवत्	m	noun
अंशसवर्णन	n	noun
अंशस्वर	m	noun
अंशहर		adj
अंशांश	m	noun
अंशांसि		ind
अंशावतरण	n	noun
अंशिता	f	noun
अंशिन्		adj
अंशु	m	noun
अंशुक	n	noun
अंशुजाल	n	noun
अंशुधर	m	noun
अंशुधान	n	noun
अंशुधारय	m	noun
अंशुनदी	f	noun
अंशुपट्ट	n	noun
अंशुपति	m	noun
अंशुमती	f	noun
अंशुमत्	m	noun,adj
अंशुमत्फला	f	noun
अंशुमाला	f	noun
अंशुमालिन्	m	noun
अंशुल	m	noun
अंशुवाण	m	noun
अंशुविमर्द	m	noun
अंशुहस्त	m	noun
अंशूदक	n	noun
अंस	m	noun
अंसकूट	m	noun
अंसत्र	n	noun
अंसत्रकोश		adj
अंसदघ्न		adj
अंसध्री	f	noun
अंसपीठ	m	noun
अंसपृष्ठ	n	noun
अंसफलक	n	noun
अंसभार	m	noun
अंसभारिक		adj
अंसमूल	n	noun
अंसल		adj
अंसोच्चय	m	noun
अंस्य		adj
अंहति	f	noun
अंहती	f	noun
अंहन	n	noun
अंहस्	n	noun
अंहस्पति	m	noun
अंहस्पत्य	n	noun
अंहिति	f	noun
अंहु	n	noun,adj
अंहुभेदी	f	noun
अंहुर		adj
अंहूरण	n	noun,adj
अंहोमुच्		adj
अंहोयु		adj
अंहोलिङ्ग		adj
अंह्रि	m	noun
अंह्रिप	m	noun
अंह्रिस्कन्ध	m,n	noun
अऋणिन्		adj
अक	n	noun
अकच	m	noun,adj
अकटुक		adj
अकटुफल	m	noun
अकठोर		adj
अकडम	n	noun
अकडमचक्र	n	noun
अकणक		adj
अकण्टक		adj
अकण्ठ		adj
अकत्थन		adj
अकथह	n	noun
अकथ्य		adj
अकनिष्ठ	m	noun,adj
अकनिष्ठग	m	noun
अकनिष्ठप	m	noun
अकन्या	f	noun
अकपीवत्	m	noun
अकबर	m	noun
अकम्पन	m	noun
अकम्पित	m	noun,adj
अकम्प्य		adj
अकर		adj
अकरण	n	noun
अकरणि	f	noun
अकरणीय		adj
अकरा	f	noun
अकरिष्यत्		adj
अकरुण		adj
अकरुणत्व	n	noun
अकर्कश		adj
अकर्ण		adj
अकर्णक		adj
अकर्णधार		adj
अकर्णीय		adj
अकर्ण्य		adj
अकर्तन	m	noun
अकर्तृ	m	noun
अकर्तृत्व	n	noun
अकर्मक		adj
अकर्मण्य		adj
अकर्मन्	n	noun,adj
अकर्मभोग	m	noun
अकर्मान्वित		adj
अकर्मिका	f	noun
अकल		adj
अकलङ्क		adj
अकलि		adj
अकलित		adj
अकल्क		adj
अकल्कता	f	noun
अकल्कन		adj
अकल्का	f	noun
अकल्प		adj
अकल्पित		adj
अकल्मष	m	noun,adj
अकल्माष	m	noun,adj
अकल्य		adj
अकल्याण	n	noun,adj
अकव		adj
अकवच		adj
अकवारि		adj
अकवि		adj
अकस्मात्		ind
अकस्यविद्		adj
अकाण		adj
अकाण्ड		adj
अकाण्डपातजात		adj
अकाण्डशूल	n	noun
अकाण्डे		ind
अकातर		adj
अकाम		adj
अकामकर्शन		adj
अकामतस्		ind
अकामता	f	noun
अकामसंज्ञपन	n	noun
अकामहत		adj
अकामिन्		adj
अकाय		adj
अकायिका	f	noun
अकार	m	noun
अकारण	n	noun,adj
अकारणम्		ind
अकारणात्		ind
अकारणे		ind
अकारणेन		ind
अकारणोत्पन्न		adj
अकारिन्		adj
अकार्णवेष्टकिक		adj
अकार्य	n	noun,adj
अकार्यकारिन्		adj
अकार्ष्ण्य	n	noun
अकाल	m	noun,adj
अकालक	n	noun
अकालकुष्माण्ड	m	noun
अकालकुसुम	n	noun
अकालकौमुदी	f	noun
अकालक्षेपम्		ind
अकालज		adj
अकालजलदोदय	m	noun
अकालतस्		ind
अकालवेला	f	noun
अकालसह		adj
अकालहीनम्		ind
अकालिकम्		ind
अकाले		ind
अकाल्य		adj
अकावङ्क	n	noun
अकासार	m	noun
अकिंचित्कर		adj
अकिंचिद्	n	noun
अकिञ्चन	n	noun,adj
अकिञ्चनता	f,n	noun
अकिञ्चनिमन्	m	noun
अकितव	m	noun
अकिलिन		adj
अकिल्विष		adj
अकीर्ति	f	noun
अकीर्तिकर		adj
अकुण्ठ		adj
अकुण्ठधिष्ण्य	n	noun
अकुण्ठित		adj
अकुण्डल		adj
अकुतश्चन	m	noun
अकुतश्चल	m	noun
अकुतश्चिद्		ind
अकुतस्		ind
अकुतूहल		adj
अकुतोभय		adj
अकुतोमृत्यु		adj
अकुत्र		ind
अकुत्सयत्		adj
अकुत्सित		adj
अकुध्र्यञ्च्		ind
अकुप्य	n	noun
अकुप्यक	n	noun
अकुप्यत्		adj
अकुमार	m	noun
अकुम्भ	m	noun
अकुल	m,n	noun,adj
अकुलक		adj
अकुलता	f	noun
अकुला	f	noun
अकुलीन		adj
अकुशल	n	noun,adj
अकुष्ठिपृषत्		adj
अकुसीद		adj
अकुसुम		adj
अकुह	m	noun
अकुहक	m	noun
अकूज		adj
अकूजन	n	noun,adj
अकूट		adj
अकूपार	m	noun,adj
अकूपारा	f	noun
अकूर्च	m	noun
अकूर्मपृषत्		adj
अकृच्छ्र	m,n	noun
अकृच्छ्रिन्		adj
अकृत	n	noun,adj
अकृतकारम्		ind
अकृतकार्य		adj
अकृतचूड		adj
अकृतज्ञ		adj
अकृतज्ञता	f	noun
अकृतबुद्धि		adj
अकृतबुद्धित्व	n	noun
अकृतव्रण	m	noun
अकृतश्मशान		adj
अकृता	f	noun
अकृतात्मन्		adj
अकृतार्थ		adj
अकृतास्त्र		adj
अकृतित्व	n	noun
अकृतिन्		adj
अकृत्त		adj
अकृत्तरुच्		adj
अकृत्य	n	noun,adj
अकृत्यकारिन्		adj
अकृत्रिम		adj
अकृत्स्न		adj
अकृप		adj
अकृपण		adj
अकृमिपरिसृप्त		adj
अकृश		adj
अकृशकीर्ति		adj
अकृशलक्ष्मी		adj
अकृशाश्व		adj
अकृषीवल		adj
अकृष्ट	m,n	noun,adj
अकृष्टपच्य		adj
अकृष्णकर्मन्		adj
अकेतन		adj
अकेतु		adj
अकेश		adj
अकोट	m	noun
अकोप	m	noun
अकोपन		adj
अकोप्य		adj
अकोविद		adj
अकौशल	n	noun
अक्का	f	noun
अक्कादेवी	f	noun
अक्त	n	noun,adj
अक्ता	f	noun
अक्ति	f	noun
अक्तु	m	noun
अक्तुभिस्		ind
अक्तोस्		ind
अक्नोपन		adj
अक्र	m	noun,adj
अक्रतु		adj
अक्रन्दित		adj
अक्रम	m	noun,adj
अक्रमम्		ind
अक्रमशस्		ind
अक्रमोढा	f	noun
अक्रविहस्त		adj
अक्रव्याद		adj
अक्रव्याद्		adj
अक्रान्त		adj
अक्रान्ता	f	noun
अक्रिय		adj
अक्रिया	f	noun
अक्रीडत्		adj
अक्रीत		adj
अक्रुध्यत्		adj
अक्रूर	m	noun,adj
अक्रोध	m	noun,adj
अक्रोधन	m	noun,adj
अक्रोधमय		adj
अक्लम	m	noun
अक्लिका	f	noun
अक्लिन्नवर्त्मन्	n	noun
अक्लिष्ट		adj
अक्लिष्टकर्मन्		adj
अक्लिष्टव्रत		adj
अक्लीब		adj
अक्लेद्य		adj
अक्लेश	m	noun
अक्ष	m,n	noun
अक्षक	m,n	noun
अक्षकर्ण	m	noun
अक्षकाम		adj
अक्षकितव	m	noun
अक्षकी	f	noun
अक्षकुशल		adj
अक्षक्षपण	m	noun
अक्षग्लह	m	noun
अक्षचरण	m	noun
अक्षज	m	noun
अक्षण		adj
अक्षण्वत्		adj
अक्षत	m,n	noun,adj
अक्षतत्त्व	n	noun
अक्षतत्त्वविद्		adj
अक्षतयोनि	f	noun
अक्षता	f	noun
अक्षतामय	m	noun
अक्षत्र		adj
अक्षदर्शक	m	noun
अक्षदाय	m	noun
अक्षदृक्कर्मन्	n	noun
अक्षदेवन	n	noun
अक्षदेविन्	m	noun
अक्षद्यूत	n	noun
अक्षद्रुग्ध		adj
अक्षद्वार	n	noun
अक्षधर	m	noun,adj
अक्षधर्म	m	noun
अक्षधुरा	f	noun
अक्षधुर्	f	noun
अक्षधूर्त	m	noun
अक्षधूर्तिल	m	noun
अक्षनैपुण	n	noun
अक्षन्	n	noun
अक्षपटल	n	noun
अक्षपराजय	m	noun
अक्षपरि		ind
अक्षपाट	m	noun
अक्षपाटक	m	noun
अक्षपात	m	noun
अक्षपातन	n	noun
अक्षपीड	m	noun
अक्षपीडा	f	noun
अक्षप्रपातन	n	noun
अक्षप्रिय		adj
अक्षभा	f	noun
अक्षभाग	m	noun
अक्षभार	m	noun
अक्षभूमि	f	noun
अक्षम		adj
अक्षमता	f	noun
अक्षमद	m	noun
अक्षमा	f	noun
अक्षमात्र	n	noun
अक्षमाला	f	noun
अक्षमालिका	f	noun
अक्षमालिन्		adj
अक्षमिन्		adj
अक्षय	m	noun,adj
अक्षयगुण	m	noun,adj
अक्षयता	f,n	noun
अक्षयतृतीया	f	noun
अक्षयनीवी	f	noun
अक्षयपुरुहूत	m	noun
अक्षयमति	m	noun
अक्षयलोक	m	noun
अक्षयवट	m	noun
अक्षया	f	noun
अक्षयिणी	f	noun
अक्षयिन्		adj
अक्षय्य	n	noun,adj
अक्षय्यनवमी	f	noun
अक्षय्यम्		ind
अक्षय्योदक	n	noun
अक्षर	m,n	noun,adj
अक्षरक	n	noun
अक्षरकर	m	noun
अक्षरचञ्चु	m	noun
अक्षरच्युतक	n	noun
अक्षरछन्दस्	n	noun
अक्षरजननी	f	noun
अक्षरजीवक	m	noun
अक्षरतूलिका	f	noun
अक्षरन्यास	m	noun
अक्षरपङ्क्ति	f	noun,adj
अक्षरभाज्		adj
